z,LO2,LO3,LnHbeta,LbHbeta,LnHalpha,LbHalpha,LNII,LSII,LFeII,L5100,fwhm_bHbeta,fwhm_OIII
0.3187575,40.9950224495,41.2727894793,40.5183559578,42.0067694608,41.374537465,42.4191398754,41.0080203903,40.8413786248,41.8581438374,44.2032494986,2438.14656514,406.153771231
0.3188935,41.6433510898,42.3630927239,41.2817091643,42.8187771329,41.7546712051,43.1643407974,41.2343175993,41.3589489325,42.5741755753,44.5714951009,9434.78628474,320.655780597
0.3192021,40.8341374453,41.4109979041,40.6670573129,41.8370877752,41.1329602925,42.3050932521,40.6531437778,40.7837264787,41.0753899166,43.9295091678,2475.85055134,454.252623098
0.3192555,40.9453859247,41.7744231252,40.8652539312,41.8286100005,41.3900058673,42.1510109752,39.9094230183,40.188598028,42.1495070081,43.7030049913,3443.01296178,271.440975694
0.319347,40.8405621169,41.5065898279,40.7208249352,42.0347460176,41.33806051,42.566711499,41.1413756006,41.1840708566,42.3320152934,44.2140557439,2985.7478389,532.924561881
0.3194153,41.4023827466,42.3953199277,41.4818804904,43.1098733863,41.8876635656,43.3682588091,41.0608628468,41.5357296226,42.6864912855,44.6693288266,11114.6887344,417.650132993
0.3194344,41.3946349182,41.9534427629,41.0256415735,42.1269785866,41.3055951828,42.538690423,40.8388826131,41.1035938464,42.5731676974,44.070329939,6370.38869438,620.457624207
0.3195221,40.976177003,40.9860961205,40.393559498,42.0670176272,40.7795886757,42.4065361631,40.3385998513,40.8641536252,42.2616445679,44.0433472856,6884.14817367,277.509208654
0.3199121,40.9266708976,41.2869488298,40.4598100409,42.0567960131,41.0842699159,42.5205885387,40.6115484452,40.9539427645,42.0639841383,44.1912244956,3189.15738857,305.629088086
0.3200846,41.2190561358,41.5916051294,40.8738355978,41.8733336267,41.4138478987,42.1353059296,41.2191317696,40.7605132586,41.4296009466,43.9473601823,7955.11208923,587.965949208
0.3202187,41.6439381651,42.2080559191,41.2482426005,42.3618740875,41.5677144057,42.7288214979,40.5431081292,41.1586959862,42.3776956665,44.2793280265,9401.67212937,490.102281762
0.3202739,41.9365777345,42.5407402648,41.6600560103,42.3470885294,41.9510571412,42.75989243,41.0754908213,41.4515847166,42.1099765516,44.1381502767,4922.44938409,434.986798921
0.3206617,41.2673649848,41.7400652553,40.7737247569,42.0297201724,41.3415255352,42.481444271,40.3377477453,40.9373203108,42.3927770807,44.0995945374,2651.05781456,480.066354026
0.3207099,41.6730944411,42.0821099016,41.1390442308,42.0051556914,41.5127970533,42.5704068721,41.2537755878,41.2801967393,40.9703417919,44.0955153915,3991.11989344,393.638331928
0.3207192,41.6840041866,42.3545422763,41.5261202235,42.5697686315,41.7709823814,42.8928855523,41.5843638344,41.5337411162,42.3450287916,44.2115833366,5561.88100156,860.056307678
0.3207403,40.482385499,41.5641472639,40.7445289881,41.9914707955,41.1017759262,42.3207547301,39.9299468728,40.3649832547,42.2280308867,44.0013163776,2679.73894722,411.897811328
0.3211692,41.5141824597,41.9402898314,40.9688681859,41.8922808787,41.4887323912,42.3888673331,41.2452173593,41.2533438008,40.9642211959,44.302358676,3665.39412501,512.679935414
0.321196,41.6521552271,42.2703273135,41.3177910103,42.4767292049,41.6398289776,42.8120489943,40.8690932984,41.3474465392,41.9023462406,44.3761694589,9963.59634757,436.615736182
0.3213775,41.4430928747,41.9349009262,41.2768763725,42.4702442149,41.7739999223,42.8941225003,41.3521958183,41.3773811914,42.3185123526,44.3618885979,5366.97045405,529.546009279
0.321397,41.1222043697,41.9862980003,40.7525272786,41.9655983208,41.1668469157,42.5474660161,40.9004676799,40.9446231768,41.8739934499,44.142079189,2347.07560564,578.050352989
0.3215649,40.7540209718,41.4444460183,40.3525114389,41.9110106491,40.8004633026,42.3591553995,40.2479332488,40.6629370486,40.5346564448,44.0693592638,3298.29017441,341.559095708
0.3216116,41.1213913304,41.4356031951,40.4287520494,41.7607842605,41.1209411665,42.3001373652,40.948069478,40.5902726127,42.1918345923,44.2050245295,3080.80444886,361.323586825
0.3217236,41.1491243384,41.2896426158,40.6597199516,41.92828044,41.2839620059,42.3639807461,40.93544862,40.8165707087,42.5320589744,44.1657828871,4888.19157446,395.804927487
0.3219522,41.1750136798,41.6453832057,40.4212172256,41.9748002431,41.1137218534,42.6554091541,41.147018413,40.7124488569,42.0507708556,44.220693071,7411.09467502,539.583882167
0.3222511,41.7594058547,42.2440089773,41.4333301143,42.3700299285,41.8934145359,42.818204768,41.8289672286,41.519662175,42.4142867049,44.3753224779,4113.42583023,624.603201697
0.3223065,40.8089013499,41.8838198042,41.0990836931,42.2419526391,41.420551324,42.7350412086,40.4843883038,40.8273174329,41.8895446552,44.222954488,4555.22792001,537.655336798
0.3224691,41.1066123078,41.8735430719,41.2519256331,42.5379427666,41.6299885077,43.004818267,41.1919151818,41.1874632117,42.6073880625,44.4095211394,3787.27272352,578.851952744
0.3224927,40.816304684,41.182064062,39.7964037312,41.4142142863,41.0151411415,42.1139950147,40.9540973293,40.7479638263,41.9335522239,44.0339793487,5790.44310286,467.180442292
0.3226719,40.8399704398,41.448654124,40.4814124134,42.165060403,40.7914184885,42.5547487001,40.1617312297,40.6527383981,42.562718113,44.1938740191,3418.75803284,348.971906021
0.322985,41.5398945108,42.4145404916,42.0343669178,43.1091381674,42.3657213381,43.3975787014,42.1607203974,41.8656387991,42.5954993429,44.786351706,6761.63156245,1036.27818947
0.3231658,41.5897943226,42.3334345092,41.1245307552,42.8093483968,41.4853613528,43.2287787722,40.3947022618,41.580046982,41.1048085903,44.517682338,10628.4460057,419.988968356
0.3233819,41.5406592666,41.7389586339,41.2901214656,41.954460705,41.7614872314,42.5157618203,41.4480065195,41.0772096578,40.9158314085,44.1889924385,3396.36698137,359.696116337
0.3235069,40.9098566738,41.4044024839,40.5343226906,41.8475800327,41.0639411256,42.3129672953,40.6729091768,40.7374191087,41.9079219886,43.8676037567,4204.94035405,358.896658789
0.3236855,40.8910078455,41.9317472591,40.7830901847,42.4747126023,41.2737335015,42.8234912461,40.6622145269,40.7861174931,42.5330266693,44.1694533778,9561.23135689,349.948877516
0.3241678,40.6300363408,41.3356010299,40.6021452818,42.078195091,41.0792664324,42.5448093993,40.8557605606,40.8052013234,42.3935149408,44.0117723377,6098.96699646,506.712817045
0.3244703,41.1755161974,41.6344691742,40.8030534953,42.2896859177,41.4953842896,42.6629890628,40.7317545475,41.050259519,42.4741036815,44.0863238346,4447.73589528,565.826762795
0.3245617,41.871188146,42.3629943026,41.3955559974,42.4109278919,41.6500514582,42.7850193283,41.332636812,41.484030093,42.5680566302,44.2183342902,3781.06432985,401.372846697
0.325229,41.2661474926,41.5097451254,40.8494055489,41.9569561811,41.4085763803,42.6094917086,41.2518676177,40.9390782028,42.2352997472,44.2882372794,9454.7262495,401.58322693
0.325448,42.0728448087,42.7527595465,41.6249471976,42.7081944808,41.8293827933,43.1498792964,41.2622685421,41.5558535608,41.5855068199,44.3602271018,4996.78755162,349.510155194
0.3255128,41.5185747592,42.0511820586,41.1713818556,42.5825738645,41.6615411305,42.9753713375,41.472461877,41.448044543,42.1222388305,44.3865316611,8156.29281073,608.16907875
0.3257596,40.9578093807,41.1525426373,40.5662858534,41.8343356717,41.2058430951,42.3345723852,40.9681320357,40.6656008304,42.68109802,44.1343114106,3042.05373868,245.900272963
0.326188,41.7158452201,41.843794737,41.3500097482,41.836759395,41.8519696631,42.2170843652,41.5369731202,41.3162729351,42.0849755806,44.2595039666,3725.4375305,516.244462603
0.3263339,41.1894214092,41.8593067002,40.9655687033,42.628189067,41.6676124625,43.077816174,41.4428244982,41.3546355253,42.7191185707,44.5373869031,2572.29115313,634.876220462
0.3266814,41.1893825191,41.8654108187,41.1302233197,41.8838537834,41.3756030991,42.4892648924,40.7021531532,41.0153329191,42.3969347346,44.267065303,3018.52304706,392.229629959
0.3267798,41.1816212252,41.2581262804,40.6596158129,41.9183997151,41.1619679681,42.382956827,40.7357212959,40.8867254512,42.6529087502,44.1479526089,3282.39835399,322.334810994
0.3268524,41.6003464711,41.8034284862,41.2831559747,41.7891024109,41.6540265589,42.2281478984,41.3122635006,41.2362189384,42.0920969086,44.0587306023,2653.45797426,401.184726808
0.3270395,41.5951305969,41.7938687442,40.9993902332,41.9142621825,41.4373185901,42.3414804546,41.051086375,41.2624861692,41.8770746087,43.8804895001,5492.418928,672.189494282
0.3271488,40.7043527916,41.141643894,40.6905861249,41.7183063044,41.2275802504,42.2651968975,40.9521225558,40.4243220725,42.5897212004,44.0974215143,2494.16376705,358.612595737
0.3271576,41.0345871099,41.6999604698,40.6594626434,41.8155659485,41.332488264,42.4430104785,41.2829640376,41.0883574462,42.4157617807,44.2917980778,3288.52213679,478.426623709
0.3272214,41.5003886138,42.2922119136,41.1783916359,42.6865198574,41.4966544793,43.1466701881,40.4321692802,41.3098278669,42.427858284,44.309538226,3493.30550857,406.146883483
0.3273941,41.0559241275,41.8723682672,41.1495867356,42.6226764211,41.6412105171,42.9455495229,41.1222407346,40.9883667434,42.1340514543,44.4137861514,7172.17572152,498.227159109
0.3274242,41.4562650656,41.6152555686,41.040252126,41.4831964567,41.3580894785,42.0236281943,40.9276001592,40.9617456428,42.1340593303,43.9183522903,2398.61122338,321.656124628
0.3275772,41.5831769286,42.0458768551,41.1905889459,42.1533713999,41.6912683888,42.652694903,41.5296157106,41.2063030834,42.3303826012,44.3391510503,5945.80631346,547.583175869
0.3278383,41.3494713717,41.7804444585,41.1671153022,41.9957608394,41.4778720636,42.3016857526,41.2007131477,41.1652184861,41.1904479343,44.0883185494,10790.3006725,554.575742374
0.3283707,41.1930822446,41.7815617561,40.979163607,42.7962873047,41.4161458082,43.0564812204,41.3181702221,41.2671173033,42.8268457947,44.5476070161,7649.56029731,524.068124568
0.3287824,41.2119743616,41.4920064459,40.8895923152,41.5595806959,41.433573095,42.4156457575,41.1366363042,41.131260168,42.1938523188,44.2674998132,3379.44156489,410.036107167
0.328839,40.5919893174,41.299140706,40.4322827238,41.3057807909,40.9586733282,41.8270180416,40.819379331,40.450247678,41.8063676396,43.7315152249,3746.78983834,467.59438652
0.3288445,41.3049113422,41.9785438808,41.2015865815,42.6487801328,41.6900501604,42.9641427865,40.9291482819,41.1895999779,42.5568734752,44.5392046171,8108.74841995,404.416498518
0.3290035,41.2546440361,41.8601690008,41.0413069548,42.0067376522,41.3414384297,42.3873075469,40.9117211446,41.01374414,42.3682127129,44.2407629293,4121.37134721,470.973906433
0.329121,41.2636857024,41.6825957943,40.951990057,42.0745607205,41.2957237383,42.6398372735,41.0189341197,41.1798468584,42.5224928157,44.1160950691,6454.55155947,545.199314578
0.3291697,41.1506573412,41.745820307,41.0664420437,42.3976654273,41.4286304011,42.8381226266,41.1970378,41.1169965382,42.6576140065,44.4280035335,3706.14424935,527.496436071
